,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
9,frozenset({'Mystery'}),frozenset({'Thriller'}),0.05550260283011951,0.1531637216804751,0.029144365422684948,0.5250990752972259,3.428351502144023,0.020643380210270575,1.78318515351288
8,frozenset({'Thriller'}),frozenset({'Mystery'}),0.1531637216804751,0.05550260283011951,0.029144365422684948,0.19028243178554333,3.428351502144023,0.020643380210270575,1.1664528895583095
15,frozenset({'Crime'}),"frozenset({'Drama', 'Thriller'})",0.10774250311606423,0.06848009384852262,0.02496517339980937,0.23171146648519902,3.3836324318968196,0.01758695667494655,1.2124610293087652
12,"frozenset({'Drama', 'Thriller'})",frozenset({'Crime'}),0.06848009384852262,0.10774250311606423,0.02496517339980937,0.3645610278372591,3.3836324318968196,0.01758695667494655,1.4041592284576174
7,frozenset({'Action'}),frozenset({'Adventure'}),0.12904171860107047,0.08538015983576508,0.0356331109318865,0.2761363636363636,3.234198251297865,0.024615508372245284,1.2635250539160545
6,frozenset({'Adventure'}),frozenset({'Action'}),0.08538015983576508,0.12904171860107047,0.0356331109318865,0.41734650064405326,3.234198251297865,0.024615508372245284,1.4948134394827612
16,frozenset({'Action'}),frozenset({'Sci-Fi'}),0.12904171860107047,0.06389764645501869,0.023498790233888116,0.18210227272727272,2.8499057919991655,0.015253328120768905,1.1445225024238743
17,frozenset({'Sci-Fi'}),frozenset({'Action'}),0.06389764645501869,0.12904171860107047,0.023498790233888116,0.36775674125071717,2.8499057919991655,0.015253328120768905,1.377568316223534
0,frozenset({'Thriller'}),frozenset({'Crime'}),0.1531637216804751,0.10774250311606423,0.04516460151037466,0.2948779320248923,2.736876566782924,0.028662358749948075,1.2653943727023367
1,frozenset({'Crime'}),frozenset({'Thriller'}),0.10774250311606423,0.1531637216804751,0.04516460151037466,0.4191902007485539,2.7368765667829233,0.028662358749948075,1.4580268435741557
5,frozenset({'Horror'}),frozenset({'Thriller'}),0.09571816115550993,0.1531637216804751,0.03933572842583767,0.4109536576024512,2.683100495950135,0.024675178630848286,1.43763948159446
4,frozenset({'Thriller'}),frozenset({'Horror'}),0.1531637216804751,0.09571816115550993,0.03933572842583767,0.25682144566778364,2.683100495950135,0.024675178630848286,1.2167760137495265
13,"frozenset({'Drama', 'Crime'})",frozenset({'Thriller'}),0.06276119950142972,0.1531637216804751,0.02496517339980937,0.3977803738317757,2.597092636999325,0.015352434507039615,1.4061917638050696
14,frozenset({'Thriller'}),"frozenset({'Drama', 'Crime'})",0.1531637216804751,0.06276119950142972,0.02496517339980937,0.1629966491144088,2.597092636999325,0.015352434507039615,1.1197551353969193
3,frozenset({'Action'}),frozenset({'Thriller'}),0.12904171860107047,0.1531637216804751,0.040655473275166804,0.3150568181818182,2.056993749728013,0.020890963402182258,1.236359892030165
2,frozenset({'Thriller'}),frozenset({'Action'}),0.1531637216804751,0.12904171860107047,0.040655473275166804,0.26543800861656297,2.0569937497280124,0.020890963402182258,1.1856838382811103
10,frozenset({'Crime'}),frozenset({'Action'}),0.10774250311606423,0.12904171860107047,0.02811789720654007,0.2609731201088806,2.022393400661944,0.01421461943806195,1.178520436938975
11,frozenset({'Action'}),frozenset({'Crime'}),0.12904171860107047,0.10774250311606423,0.02811789720654007,0.21789772727272724,2.022393400661944,0.01421461943806195,1.1408450377883959
