,city,confirm,country,dead,heal,province,suspect,update_time
0,武汉,13603,中国,545,698,湖北,0,2020-02-08 18:00:27
1,孝感,2313,中国,26,38,湖北,0,2020-02-08 18:00:27
2,黄冈,2041,中国,36,105,湖北,0,2020-02-08 18:00:27
3,随州,953,中国,9,23,湖北,0,2020-02-08 18:00:27
4,荆州,941,中国,11,29,湖北,0,2020-02-08 18:00:27
5,襄阳,907,中国,5,31,湖北,0,2020-02-08 18:00:27
6,黄石,703,中国,2,48,湖北,0,2020-02-08 18:00:27
7,宜昌,633,中国,8,24,湖北,0,2020-02-08 18:00:27
8,荆门,588,中国,18,36,湖北,0,2020-02-08 18:00:27
9,鄂州,569,中国,20,11,湖北,0,2020-02-08 18:00:27
10,咸宁,476,中国,2,16,湖北,0,2020-02-08 18:00:27
11,十堰,438,中国,0,33,湖北,0,2020-02-08 18:00:27
12,仙桃,359,中国,5,14,湖北,0,2020-02-08 18:00:27
13,天门,179,中国,10,1,湖北,0,2020-02-08 18:00:27
14,恩施州,160,中国,0,17,湖北,0,2020-02-08 18:00:27
15,潜江,80,中国,2,1,湖北,0,2020-02-08 18:00:27
16,神农架,10,中国,0,2,湖北,0,2020-02-08 18:00:27
17,地区待确认,0,中国,0,3,湖北,0,2020-02-08 18:00:27
18,深圳,354,中国,0,39,广东,0,2020-02-08 18:00:27
19,广州,301,中国,0,21,广东,0,2020-02-08 18:00:27
20,珠海,83,中国,0,4,广东,0,2020-02-08 18:00:27
21,佛山,64,中国,0,4,广东,0,2020-02-08 18:00:27
22,东莞,56,中国,0,1,广东,0,2020-02-08 18:00:27
23,惠州,47,中国,0,1,广东,0,2020-02-08 18:00:27
24,中山,46,中国,0,11,广东,0,2020-02-08 18:00:27
25,汕头,25,中国,0,3,广东,0,2020-02-08 18:00:27
26,湛江,20,中国,0,6,广东,0,2020-02-08 18:00:27
27,江门,15,中国,0,1,广东,0,2020-02-08 18:00:27
28,肇庆,14,中国,1,1,广东,0,2020-02-08 18:00:27
29,梅州,13,中国,0,4,广东,0,2020-02-08 18:00:27
